"stop","recommended_route"
16590,58
16485,58
16585,58
16435,58
16400,58
16630,58
72160,58
72015,58
13415,18
20400,58
27235,31
17795,31
16465,1
14015,31
18245,31
72165,58
17775,31
71000,19
16475,58
14350,19
12580,31
17990,27
59060,78
16525,58
17810,31
19655,1
12480,1
19965,50
14380,1
23085,80
