"stop","recommended_route"
16590,6
16485,6
16585,6
16435,6
16400,6
16630,6
72160,6
72015,3
13415,18
20400,58
27235,11
17795,31
16465,1
14015,31
18245,1
72165,6
17775,1
71000,17
16475,6
14350,17
12580,31
17990,28
59060,11
16525,6
17810,1
19655,1
12480,1
19965,1
14380,1
23085,72
