"stop","recommended_route"
70310,1
16485,2
16590,2
18721,11
16630,2
16585,2
16435,2
72160,2
18720,9
12580,31
14950,31
12245,2
12400,30
72015,3
59915,17
14475,31
14925,31
72300,1
17560,1
71000,17
20845,27
18290,1
17795,1
17775,31
23080,72
17500,1
20665,9
59060,11
72165,2
14655,17
71140,17
7265,1
16525,2
19245,18
23085,72
14010,1
20615,1
12210,19
