"Route","prop_late_Afternoon","prop_late_Morning","mean_delay_Afternoon","mean_delay_Morning","median_delay_Afternoon","median_delay_Morning","sd_delay_Afternoon","sd_delay_Morning","n_trips_Afternoon","n_trips_Morning","diff_prop_late","diff_mean_delay"
1,0.346961825163768,0.2298190175237,1.99161382249012,2.08772600799026,3.21603091160457,2.73136811653773,11.2513223520856,4.84809484908324,4427,3481,0.117142807640068,-0.0961121855001386
2,0.557603686635945,0.231974921630094,6.44405947337685,1.08947518796133,5.97366578578948,1.92442901333173,3.45237266498716,7.95415700818846,217,638,0.325628765005851,5.35458428541552
11,0.364103505230317,0.266720713417106,3.9161175120407,2.91991523864978,3.30080411434173,2.94425789117812,5.13752199356743,4.34679766528102,5449,4934,0.0973827918132114,0.996202273390926
12,NA,0.271629778672032,NA,3.56758822631228,NA,1.95809327363968,NA,10.7878779393163,NA,497,NA,NA
14,0.120967741935484,0.143099068585945,-0.692522509852725,0.000352477842288159,-0.52575065890948,0.10667093594869,5.43744709207038,5.60496402055377,1488,1181,-0.0221313266504607,-0.692874987695013
17,0.172118380062306,0.187569367369589,1.99823841871007,2.31745908696079,2.73910527626673,2.67280544837317,3.86846063831544,4.04019120696673,1284,901,-0.0154509873072836,-0.31922066825072
18,0.263431542461005,0.222023276633841,3.13210077417648,2.41554379373904,3.04187823732694,2.91017589966457,3.6672132871251,4.14774424518203,1154,1117,0.0414082658271648,0.71655698043743
19,0.153083700440529,0.214216163583252,1.48554193417756,2.07671432463003,2.29209741751353,2.82595273653667,3.99063019443966,4.30494104017446,908,1027,-0.0611324631427236,-0.591172390452466
20,0.235366986683184,0.175604229607251,2.53816847871599,1.86748607232792,2.6895998040835,2.06739325126013,4.90037294825967,4.24089868053074,3229,2648,0.0597627570759326,0.670682406388079
22,0.254952076677316,0.13263296126067,2.74027007187263,1.03380707773189,2.92322146097818,1.38636231422424,4.78457660000128,4.18040332049397,1565,1523,0.122319115416647,1.70646299414075
27,0.50375,0.427831715210356,-5.73486062966039,4.72131091294808,5.08209010362625,3.6263850013415,67.8027530909428,4.30682991016576,1600,1545,0.075918284789644,-10.4561715426085
28,0.530241935483871,0.475247524752475,6.33929663310128,5.65376062937105,6.04596988757452,4.58892804582913,5.44478617453098,4.18715858482638,992,808,0.0549944107313958,0.685536003730224
33,0.395503026808879,0.321666666666667,-12.2081355990841,3.38823006407022,3.35859373807907,3.23031121293704,74.7819447139628,4.26475051375214,3469,3000,0.0738363601422122,-15.5963656631543
50,0.231553689262148,0.19962453066333,2.75096471305133,2.4672491087633,2.85242978334427,2.8916054447492,4.02013102846773,3.74980930523428,1667,1598,0.0319291585988178,0.283715604288026
61,0.424242424242424,0.244755244755245,5.3577730169501,1.13477853872837,3.71329963803292,1.44652974009514,4.17505663567568,8.39000551273752,132,286,0.17948717948718,4.22299447822173
92,0.260058309037901,0.136807817589577,2.84213356913584,1.32882270561238,2.98338087797165,2.18066883683205,3.96151396027524,3.88268944516234,1715,1228,0.123250491448324,1.51331086352346
